<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYUSD,5,20250210,000000,0.00659839,0.00659846,0.00659474,0.0065963,0,0
JPYUSD,5,20250210,000500,0.0065963,0.0065963,0.00659278,0.00659369,0,0
JPYUSD,5,20250210,001000,0.00659369,0.0066,0.00659369,0.0066,0,0
JPYUSD,5,20250210,001500,0.0066,0.00660205,0.00659778,0.00659852,0,0
JPYUSD,5,20250210,002000,0.00659774,0.00659791,0.00659508,0.00659587,0,0
JPYUSD,5,20250210,002500,0.00659552,0.00659891,0.00659521,0.00659865,0,0
JPYUSD,5,20250210,003000,0.00659891,0.00659991,0.00659587,0.0065973,0,0
JPYUSD,5,20250210,003500,0.00659713,0.00659752,0.00659521,0.00659743,0,0
JPYUSD,5,20250210,004000,0.00659687,0.00659887,0.00659687,0.00659721,0,0
JPYUSD,5,20250210,004500,0.00659721,0.00659721,0.00658961,0.00659013,0,0
JPYUSD,5,20250210,005000,0.00658974,0.00658995,0.00658804,0.00658865,0,0
JPYUSD,5,20250210,005500,0.00658861,0.00658904,0.00658405,0.00658444,0,0
JPYUSD,5,20250210,010000,0.00658423,0.00658904,0.00658375,0.00658852,0,0
JPYUSD,5,20250210,010500,0.00658843,0.006592,0.00658687,0.00658965,0,0
JPYUSD,5,20250210,011000,0.00658909,0.00658922,0.00658522,0.00658566,0,0
JPYUSD,5,20250210,011500,0.00658605,0.006595,0.00658592,0.00659404,0,0
JPYUSD,5,20250210,012000,0.00659326,0.0065946,0.00659035,0.00659152,0,0
JPYUSD,5,20250210,012500,0.00659156,0.00659304,0.00658843,0.00659139,0,0
JPYUSD,5,20250210,013000,0.00659095,0.00659313,0.0065887,0.00658913,0,0
JPYUSD,5,20250210,013500,0.00658965,0.00659022,0.00658679,0.00658826,0,0
JPYUSD,5,20250210,014000,0.00658796,0.00659013,0.00658796,0.00658874,0,0
JPYUSD,5,20250210,014500,0.006589,0.006589,0.006586,0.00658709,0,0
JPYUSD,5,20250210,015000,0.00658757,0.00659082,0.00658375,0.00658405,0,0
JPYUSD,5,20250210,015500,0.00658444,0.00658635,0.00658275,0.0065841,0,0
JPYUSD,5,20250210,020000,0.0065844,0.0065844,0.00657899,0.00657899,0,0
JPYUSD,5,20250210,020500,0.00657955,0.00658119,0.006576,0.00657773,0,0
JPYUSD,5,20250210,021000,0.00657812,0.00658176,0.00657782,0.00658128,0,0
JPYUSD,5,20250210,021500,0.0065808,0.00658345,0.00657942,0.00658258,0,0
JPYUSD,5,20250210,022000,0.00658215,0.00658245,0.0065789,0.00657989,0,0
JPYUSD,5,20250210,022500,0.00657994,0.00658011,0.00657401,0.00657565,0,0
JPYUSD,5,20250210,023000,0.00657613,0.00657873,0.00657492,0.00657864,0,0
JPYUSD,5,20250210,023500,0.0065786,0.00657916,0.0065754,0.00657613,0,0
JPYUSD,5,20250210,024000,0.00657604,0.00657777,0.00657341,0.0065744,0,0
JPYUSD,5,20250210,024500,0.00657388,0.00657587,0.00657289,0.00657453,0,0
JPYUSD,5,20250210,025000,0.00657453,0.00657652,0.00657362,0.00657635,0,0
JPYUSD,5,20250210,025500,0.00657617,0.00657825,0.00657557,0.00657825,0,0
JPYUSD,5,20250210,030000,0.00657868,0.00658137,0.00657803,0.00658033,0,0
JPYUSD,5,20250210,030500,0.0065802,0.00658258,0.00657912,0.00658258,0,0
