<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
META.US,5,20250103,153000,604.82,607.27,603.36,606.415,336497,0
META.US,5,20250103,153500,606.51,608.5619,605.3801,608.47,128448,0
META.US,5,20250103,154000,608.51,609.5,607,608.43,113870,0
META.US,5,20250103,154500,608.48,608.7,603.7369,604.7022,168354,0
META.US,5,20250103,155000,604.72,605.53,602,602.9542,138791,0
META.US,5,20250103,155500,602.9,604.3854,602.4,603.19,106031,0
META.US,5,20250103,160000,603.35,604.19,600.2459,604.025,119861,0
META.US,5,20250103,160500,604.04,604.6083,602.5,602.85,70535,0
META.US,5,20250103,161000,602.865,603.07,599.4001,600.395,91153,0
META.US,5,20250103,161500,600.56,600.87,598.8047,599.58,71946,0
META.US,5,20250103,162000,599.78,599.8,597.0101,599.52,126959,0
META.US,5,20250103,162500,599.64,600,598.8052,599.3,46393,0
META.US,5,20250103,163000,599.3,599.4999,597.6,599.448,77499,0
META.US,5,20250103,163500,599.2492,600,597.8,598.29,65553,0
META.US,5,20250103,164000,598.32,600,598.0601,599.33,67630,0
META.US,5,20250103,164500,599.45,600,598.99,599.255,38763,0
META.US,5,20250103,165000,599.13,599.395,597.5,597.9025,44142,0
META.US,5,20250103,165500,597.9868,598.93,597.52,598.2943,59536,0
META.US,5,20250103,170000,598.56,599.44,597.76,599.1689,46566,0
META.US,5,20250103,170500,599.21,599.42,597.66,597.7,42355,0
META.US,5,20250103,171000,597.81,597.94,596.73,597.71,65661,0
META.US,5,20250103,171500,597.605,597.68,596.4136,597.41,43617,0
META.US,5,20250103,172000,597.41,598,596.83,597.87,48457,0
META.US,5,20250103,172500,597.75,598.7487,597.7001,598.525,72883,0
META.US,5,20250103,173000,598.46,599.91,598.1973,599.79,68161,0
META.US,5,20250103,173500,599.86,600.66,599.1001,600.0567,79161,0
META.US,5,20250103,174000,600.21,601.55,600,601.11,85062,0
META.US,5,20250103,174500,601.15,601.98,600.9,601.76,82745,0
META.US,5,20250103,175000,601.765,602.1,601.16,601.695,58644,0
META.US,5,20250103,175500,601.6,601.84,600.6,600.87,52838,0
META.US,5,20250103,180000,600.87,601.6499,600.795,601.5,28709,0
META.US,5,20250103,180500,601.59,602.1,601.3101,601.3101,33848,0
META.US,5,20250103,181000,601.3,601.78,600.9703,600.975,30864,0
META.US,5,20250103,181500,600.92,601.64,600.35,600.47,61796,0
META.US,5,20250103,182000,600.55,601.78,600.55,601.65,34606,0
META.US,5,20250103,182500,601.84,603.38,601.67,602.756,113032,0
META.US,5,20250103,183000,602.68,603.196,601.73,602.3,35971,0
