<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,5,20250103,153000,421.08,422.535,420.52,421.7,443475,0
MSFT.US,5,20250103,153500,421.63,422.72,421.1,422.67,126800,0
MSFT.US,5,20250103,154000,422.63,422.63,421.69,421.865,104266,0
MSFT.US,5,20250103,154500,421.865,422.8199,421.1689,421.59,168933,0
MSFT.US,5,20250103,155000,421.68,422,420.74,421.4,121776,0
MSFT.US,5,20250103,155500,421.35316,422.46,421.05,422.42,56459,0
MSFT.US,5,20250103,160000,422.67,423.65,421.6801,423.59,129899,0
MSFT.US,5,20250103,160500,423.53,423.76,422.52,422.52,101603,0
MSFT.US,5,20250103,161000,422.63,422.63,421.37,421.67,83668,0
MSFT.US,5,20250103,161500,421.75,422,420.91,421.18,89448,0
MSFT.US,5,20250103,162000,421.0901,421.3892,420.15,421.3892,86653,0
MSFT.US,5,20250103,162500,421.29,421.5,420.876,420.92,59106,0
MSFT.US,5,20250103,163000,420.92,421.48,420.32,421.43,117387,0
MSFT.US,5,20250103,163500,421.355,421.9106,420.92,421.076,80770,0
MSFT.US,5,20250103,164000,421.19,422.09,421.14,421.865,72714,0
MSFT.US,5,20250103,164500,421.82,422.0413,421.3,421.32,45232,0
MSFT.US,5,20250103,165000,421.37,421.42,420.77,421.045,42364,0
MSFT.US,5,20250103,165500,421.0475,421.43,420.83,421.33,74602,0
MSFT.US,5,20250103,170000,421.33,421.39,420.77,421.13,140371,0
MSFT.US,5,20250103,170500,421.19,421.19,419.82,419.89,120555,0
MSFT.US,5,20250103,171000,419.88,420.09,419.54,419.745,83116,0
MSFT.US,5,20250103,171500,419.7,420.24,419.57,420.24,72630,0
MSFT.US,5,20250103,172000,420.195,420.96,420.1401,420.7675,74984,0
MSFT.US,5,20250103,172500,420.76,421.57,420.75,421.403,92066,0
MSFT.US,5,20250103,173000,421.36,422.01,421.31,421.98,90561,0
MSFT.US,5,20250103,173500,422,422.3,421.59,422.23,132117,0
MSFT.US,5,20250103,174000,422.21,422.655,422.21,422.47342,102001,0
MSFT.US,5,20250103,174500,422.412,422.61,422.03,422.09,59606,0
MSFT.US,5,20250103,175000,422.075,422.49,422,422.01,69176,0
MSFT.US,5,20250103,175500,422.085,422.24,421.5,421.54,38180,0
MSFT.US,5,20250103,180000,421.58,421.9,421.45,421.846,35189,0
MSFT.US,5,20250103,180500,421.835,422.098,421.62,421.71,69050,0
MSFT.US,5,20250103,181000,421.69,422.021,421.3401,421.3401,47847,0
MSFT.US,5,20250103,181500,421.37,422,421.352,421.43,55397,0
MSFT.US,5,20250103,182000,421.47,421.68,421.3808,421.53,59036,0
MSFT.US,5,20250103,182500,421.5,421.67,421.07,421.07,31846,0
MSFT.US,5,20250103,183000,421.11,421.4614,420.94,421.43,51596,0
MSFT.US,5,20250103,183500,421.415,421.43,421.19,421.3,35647,0
MSFT.US,5,20250103,184000,421.3,421.43,421.18,421.26,39221,0
MSFT.US,5,20250103,184500,421.315,421.46,421.1401,421.29,55587,0
MSFT.US,5,20250103,185000,421.28,422.09,421.25,421.9143,61229,0
MSFT.US,5,20250103,185500,421.935,422.25,421.8301,421.9846,80757,0
MSFT.US,5,20250103,190000,422.015,422.0599,421.5,421.7174,51498,0
MSFT.US,5,20250103,190500,421.755,422.26,421.72,422.04,58203,0
MSFT.US,5,20250103,191000,422.08,422.1999,421.9288,422.03,40921,0
MSFT.US,5,20250103,191500,422.015,422.15,421.97,422.07,54947,0
MSFT.US,5,20250103,192000,422.07,422.265,421.94,422.095,47273,0
MSFT.US,5,20250103,192500,422.095,422.68,422.095,422.655,45828,0
MSFT.US,5,20250103,193000,422.68,423.06,422.53,422.575,79696,0
MSFT.US,5,20250103,193500,422.62,423.25,422.5634,423.24,46573,0
MSFT.US,5,20250103,194000,423.24,423.88,423.0901,423.59,120938,0
MSFT.US,5,20250103,194500,423.62,423.764,423.42,423.46,37000,0
MSFT.US,5,20250103,195000,423.455,423.48,423.09,423.3,42884,0
MSFT.US,5,20250103,195500,423.3699,423.5199,422.5518,422.955,66177,0
MSFT.US,5,20250103,200000,422.87,423.34,422.65,423.03666,49705,0
MSFT.US,5,20250103,200500,423.08,423.31,422.2809,423.19,135156,0
MSFT.US,5,20250103,201000,423.195,423.72,423.1,423.67,73055,0
MSFT.US,5,20250103,201500,423.59,423.85,423.4701,423.82,51919,0
MSFT.US,5,20250103,202000,423.82,423.86,423.27,423.315,56460,0
MSFT.US,5,20250103,202500,423.315,423.5644,423.25,423.51,51607,0
MSFT.US,5,20250103,203000,423.6,423.68,423.47,423.6,42994,0
MSFT.US,5,20250103,203500,423.6,424.02,423.46,424.005,92161,0
MSFT.US,5,20250103,204000,424.02,424.03,423.36,423.55,78631,0
MSFT.US,5,20250103,204500,423.52,423.7,423.24,423.68,50307,0
MSFT.US,5,20250103,205000,423.66,423.66,423.09,423.36,66156,0
MSFT.US,5,20250103,205500,423.31,423.4,423.14,423.25,59300,0
MSFT.US,5,20250103,210000,423.21,423.21,422.73,422.765,35085,0
MSFT.US,5,20250103,210500,422.7581,423.18,422.75,422.915,71096,0
MSFT.US,5,20250103,211000,422.915,423.01,422.61,422.9831,61184,0
MSFT.US,5,20250103,211500,422.9724,423.0113,422.86,422.905,43994,0
MSFT.US,5,20250103,212000,422.91,422.92,422.62,422.66,50606,0
MSFT.US,5,20250103,212500,422.64,422.72,422.445,422.66,76818,0
MSFT.US,5,20250103,213000,422.62,422.6799,422.28,422.46,79229,0
MSFT.US,5,20250103,213500,422.45,422.64,422.31,422.32,81609,0
MSFT.US,5,20250103,214000,422.325,422.34,421.96,422.016,70753,0
MSFT.US,5,20250103,214500,422,422.17,421.73,421.9,98270,0
MSFT.US,5,20250103,215000,421.83,422.94,421.6,422.44,219814,0
MSFT.US,5,20250103,215500,422.49,423.88,422.49,423.35,3512708,0
MSFT.US,5,20250106,153000,428,428.91,426.77,427.93,714018,0
MSFT.US,5,20250106,153500,427.885,428.79,427.42,428.6968,134012,0
MSFT.US,5,20250106,154000,428.8199,430.845,428.64,429.7075,317335,0
MSFT.US,5,20250106,154500,429.77,431,429.63,430.04,257319,0
MSFT.US,5,20250106,155000,430.07,431.98,429.785,431.055,201927,0
MSFT.US,5,20250106,155500,431.02,431.87,430.2001,430.96,129989,0
MSFT.US,5,20250106,160000,430.98,431.34,430.485,430.87,118395,0
MSFT.US,5,20250106,160500,430.9,431.195,430.63,430.865,120073,0
MSFT.US,5,20250106,161000,430.8875,431.88,430.465,431.735,201766,0
MSFT.US,5,20250106,161500,431.735,433.25,431.69,433.1,217837,0
MSFT.US,5,20250106,162000,433.06,434.32,432.52,432.875,268803,0
MSFT.US,5,20250106,162500,432.915,433.49,432.47,432.6485,191243,0
MSFT.US,5,20250106,163000,432.6475,432.71,431.08,431.28,124907,0
MSFT.US,5,20250106,163500,431.2214,432.32,430.93,431.83,143916,0
MSFT.US,5,20250106,164000,431.99,432.59,431.745,432.5125,110233,0
MSFT.US,5,20250106,164500,432.485,432.82,432.305,432.46,96416,0
MSFT.US,5,20250106,165000,432.47,432.545,431.48,431.69,103264,0
MSFT.US,5,20250106,165500,431.66,432.33,431.395,432.2,123004,0
MSFT.US,5,20250106,170000,432.17,432.34,431.27,431.86,98498,0
MSFT.US,5,20250106,170500,431.82,432.271,431.65,432.04,94876,0
MSFT.US,5,20250106,171000,432.07,432.33,431.68,431.95,71778,0
MSFT.US,5,20250106,171500,431.88,431.9799,431.23,431.62,92235,0
MSFT.US,5,20250106,172000,431.62,431.92,430.99,431.0894,96208,0
MSFT.US,5,20250106,172500,431.105,432.06,430.95,431.875,110194,0
MSFT.US,5,20250106,173000,431.875,432.19,431.5701,431.795,97622,0
MSFT.US,5,20250106,173500,431.73,431.8342,431.49,431.6366,56162,0
MSFT.US,5,20250106,174000,431.65,431.85,431.4081,431.5565,63449,0
MSFT.US,5,20250106,174500,431.515,431.74,431.43,431.647,62006,0
MSFT.US,5,20250106,175000,431.6,431.6426,431.28,431.45,57560,0
MSFT.US,5,20250106,175500,431.4429,431.4816,431.18,431.255,56467,0
MSFT.US,5,20250106,180000,431.23,431.8353,431,431.835,56552,0
MSFT.US,5,20250106,180500,431.7987,432.01,431.63,431.83,46224,0
MSFT.US,5,20250106,181000,431.78,431.78,431.011,431.26,47518,0
MSFT.US,5,20250106,181500,431.25,431.2601,430.61,430.8101,104238,0
MSFT.US,5,20250106,182000,430.81,431.16,430.71,430.92,95640,0
MSFT.US,5,20250106,182500,430.92,430.94,430.14,430.37,69910,0
MSFT.US,5,20250106,183000,430.34,430.535,430.1301,430.435,95232,0
MSFT.US,5,20250106,183500,430.45,430.62,429.64,429.68,97638,0
MSFT.US,5,20250106,184000,429.62,429.83,429,429.29337,82481,0
MSFT.US,5,20250106,184500,429.32,429.4939,428.99,429.41,57461,0
