<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDA.US,5,20250103,153000,140.01,141.65,139.73,141.05,9653125,0
NVDA.US,5,20250103,153500,141.04,142.23,140.92,142.1308,6121368,0
NVDA.US,5,20250103,154000,142.11,142.91,142.01,142.77,4262157,0
NVDA.US,5,20250103,154500,142.76,143.25,142.362,142.7983,7021904,0
NVDA.US,5,20250103,155000,142.79,143.36,142.52,143.0847,4453120,0
NVDA.US,5,20250103,155500,143.08,143.97,143.07,143.93,3774675,0
NVDA.US,5,20250103,160000,143.93,143.98,143.202,143.94,3799454,0
NVDA.US,5,20250103,160500,143.935,144.21,143.393,143.8001,4480669,0
NVDA.US,5,20250103,161000,143.86,144.02,143.26,143.53,2092841,0
NVDA.US,5,20250103,161500,143.53,143.98,143.14,143.45,3293968,0
NVDA.US,5,20250103,162000,143.452,143.53,142.51,142.99,3634012,0
NVDA.US,5,20250103,162500,143.02,143.3799,142.92,143.12,1877738,0
NVDA.US,5,20250103,163000,143.12,143.27,142.76,143.16,2032050,0
NVDA.US,5,20250103,163500,143.125,143.54,142.94,143.12,2556263,0
NVDA.US,5,20250103,164000,143.11,143.72,142.97,143.3289,2297930,0
NVDA.US,5,20250103,164500,143.325,143.56,143,143.226,1693850,0
NVDA.US,5,20250103,165000,143.22,143.4,142.83,142.92,2104814,0
NVDA.US,5,20250103,165500,142.9184,143.33,142.835,143.2,1809487,0
NVDA.US,5,20250103,170000,143.21,143.64,143.03,143.44,2152915,0
NVDA.US,5,20250103,170500,143.436,143.45,142.83,142.875,2025337,0
NVDA.US,5,20250103,171000,142.8789,143.08,142.7529,142.97,1769059,0
NVDA.US,5,20250103,171500,142.975,143.18,142.8535,143.1,1208226,0
NVDA.US,5,20250103,172000,143.09,143.46,143.0546,143.275,2296293,0
NVDA.US,5,20250103,172500,143.275,143.48,143.23,143.4729,1300338,0
NVDA.US,5,20250103,173000,143.47,143.54,143.1801,143.49,1504340,0
NVDA.US,5,20250103,173500,143.4899,143.74,143.34,143.684,1372133,0
NVDA.US,5,20250103,174000,143.69,143.89,143.65,143.79,1547294,0
NVDA.US,5,20250103,174500,143.795,144,143.68,143.9,1651618,0
NVDA.US,5,20250103,175000,143.905,144.01,143.79,143.934,1954935,0
NVDA.US,5,20250103,175500,143.935,144.01,143.79,143.88,1193602,0
NVDA.US,5,20250103,180000,143.8799,144.13,143.87,144.02,1383954,0
NVDA.US,5,20250103,180500,144.0187,144.06,143.71,143.7999,1279751,0
NVDA.US,5,20250103,181000,143.79,143.93,143.71,143.72,933103,0
NVDA.US,5,20250103,181500,143.73,143.96,143.71,143.7791,945306,0
NVDA.US,5,20250103,182000,143.78,143.86,143.62,143.85,942570,0
NVDA.US,5,20250103,182500,143.8585,144,143.65,143.6803,1067616,0
NVDA.US,5,20250103,183000,143.69,143.8,143.64,143.75,1088645,0
NVDA.US,5,20250103,183500,143.755,143.93,143.7,143.9194,833313,0
NVDA.US,5,20250103,184000,143.91131,144.15,143.9,144.15,1792909,0
NVDA.US,5,20250103,184500,144.15,144.35,144.09,144.3411,1571729,0
NVDA.US,5,20250103,185000,144.341,144.67,144.33,144.59,2472220,0
NVDA.US,5,20250103,185500,144.59,144.6864,144.43,144.6246,1705545,0
NVDA.US,5,20250103,190000,144.6276,144.68,144.3,144.42,1348039,0
NVDA.US,5,20250103,190500,144.42,144.7,144.37,144.696,1246809,0
NVDA.US,5,20250103,191000,144.7,144.74,144.461,144.6269,1259012,0
NVDA.US,5,20250103,191500,144.62,144.62,144.1301,144.2587,1458521,0
NVDA.US,5,20250103,192000,144.2522,144.4,144.12,144.2054,1470524,0
NVDA.US,5,20250103,192500,144.21,144.52,144.18,144.5,1453698,0
NVDA.US,5,20250103,193000,144.4953,144.7,144.44,144.6954,1340633,0
NVDA.US,5,20250103,193500,144.7,144.9,144.69,144.77,1671135,0
NVDA.US,5,20250103,194000,144.77,144.88,144.58,144.664,1037524,0
NVDA.US,5,20250103,194500,144.67,144.7,144.35,144.365,1003909,0
NVDA.US,5,20250103,195000,144.37,144.49,144.1101,144.49,1568916,0
NVDA.US,5,20250103,195500,144.49,144.49,143.92,144.0685,1484397,0
NVDA.US,5,20250103,200000,144.07,144.18,143.82,144.135,1336116,0
NVDA.US,5,20250103,200500,144.135,144.6,144.07,144.4564,2382355,0
NVDA.US,5,20250103,201000,144.46,144.72,144.32,144.5391,1533543,0
NVDA.US,5,20250103,201500,144.54,144.55,144.22,144.34,1149973,0
