<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20250103,153000,381.48,384.56,379.45,383.46,2481585,0
TSLA.US,5,20250103,153500,383.578,388.42,381.12,388.3499,2047930,0
TSLA.US,5,20250103,154000,388.4,388.42,385.8036,387,839513,0
TSLA.US,5,20250103,154500,386.975,388.3,384.5,385.53,1379395,0
TSLA.US,5,20250103,155000,385.53,387.1,384.2,385.58,897138,0
TSLA.US,5,20250103,155500,385.7536,389.9,385.1992,389.6549,1181885,0
TSLA.US,5,20250103,160000,389.51,389.95,386.57,388.29,1183665,0
TSLA.US,5,20250103,160500,388.17,389,387.0012,387.15,687660,0
TSLA.US,5,20250103,161000,387.145,387.5,384.84,384.87,762668,0
TSLA.US,5,20250103,161500,384.9228,385.91,383.557,383.805,1011583,0
TSLA.US,5,20250103,162000,383.805,384.29,381.8,383.57,940693,0
TSLA.US,5,20250103,162500,383.74,385.2999,383.41,384.7817,670571,0
TSLA.US,5,20250103,163000,384.84,386.35,383.51,386.29,666985,0
TSLA.US,5,20250103,163500,386.2108,386.65,384.2701,385.3,760923,0
TSLA.US,5,20250103,164000,385.22,387.45,384.4,386.8364,741557,0
TSLA.US,5,20250103,164500,386.8433,388.7699,386.7293,388.2,704397,0
TSLA.US,5,20250103,165000,388.18,388.4799,386.65,387.23,565810,0
TSLA.US,5,20250103,165500,387.15,387.88,386.65,387.29,513819,0
TSLA.US,5,20250103,170000,387.24,388.48,386.53,388.2056,511901,0
TSLA.US,5,20250103,170500,388.242,388.27,387.0568,387.3842,394817,0
TSLA.US,5,20250103,171000,387.3499,388.3892,386.55,388.26,424138,0
TSLA.US,5,20250103,171500,388.2714,392.1918,387.95,392.158,1320223,0
TSLA.US,5,20250103,172000,392.1683,394.29,391.19,393.996,1347032,0
TSLA.US,5,20250103,172500,394.01235,396.25,393.5742,395.89,1511570,0
TSLA.US,5,20250103,173000,395.9,396.69,394.21,395.99,1379308,0
TSLA.US,5,20250103,173500,396.02,396.9497,394.8101,395.44,964888,0
TSLA.US,5,20250103,174000,395.495,395.6573,394.25,395.07,770509,0
TSLA.US,5,20250103,174500,395.05,395.5,393.88,394.79,551311,0
TSLA.US,5,20250103,175000,394.7801,395.53,393.9001,394.5032,533983,0
TSLA.US,5,20250103,175500,394.5697,395.51,394.25,394.64,485978,0
TSLA.US,5,20250103,180000,394.72,395.15,393.9501,394.1,375288,0
TSLA.US,5,20250103,180500,394.052,394.58,393.5,393.8156,545889,0
TSLA.US,5,20250103,181000,393.69,394.7,393.48,393.54,462732,0
TSLA.US,5,20250103,181500,393.59,394.2,393.33,393.79,352334,0
TSLA.US,5,20250103,182000,393.73,395.47,393.73,395.44,578688,0
TSLA.US,5,20250103,182500,395.45,395.78,393.7701,393.9348,511222,0
TSLA.US,5,20250103,183000,394,394.56,393.83,394.49,269768,0
TSLA.US,5,20250103,183500,394.42,395.42,394.1001,395.3005,366695,0
TSLA.US,5,20250103,184000,395.31,395.63,394.95,395.2751,321694,0
TSLA.US,5,20250103,184500,395.325,395.55,394.6601,395.5323,381226,0
TSLA.US,5,20250103,185000,395.44,396.53,395.42,396.24,504645,0
TSLA.US,5,20250103,185500,396.1833,396.4898,395.5101,395.9901,436557,0
TSLA.US,5,20250103,190000,396.0599,396.45,395.48,395.75,417348,0
TSLA.US,5,20250103,190500,395.69,396.15,395.41,396.0496,314420,0
TSLA.US,5,20250103,191000,396.042,399,395.9,398.9301,1167495,0
TSLA.US,5,20250103,191500,398.9637,399.6597,398.08,398.9,812536,0
TSLA.US,5,20250103,192000,398.9,399.06,398.25,398.7082,412413,0
TSLA.US,5,20250103,192500,398.72,399.77,398.6325,398.985,614377,0
TSLA.US,5,20250103,193000,398.92,399.5,397.73,399.2501,736431,0
TSLA.US,5,20250103,193500,399.325,401.81,398.85,401.355,1494610,0
TSLA.US,5,20250103,194000,401.29,402.1371,400.7287,401.75,684851,0
TSLA.US,5,20250103,194500,401.739,402.41,401.5,401.9645,648694,0
TSLA.US,5,20250103,195000,401.925,402.4,401.6201,402.4,615908,0
TSLA.US,5,20250103,195500,402.3694,403.5,401.24,402.33,896111,0
TSLA.US,5,20250103,200000,402.34,403.87,401.8,403.68,733599,0
TSLA.US,5,20250103,200500,403.63,404.48,403.15,404.0699,826325,0
TSLA.US,5,20250103,201000,404,404.86,403.6501,404.67,633672,0
TSLA.US,5,20250103,201500,404.75,405.88,404.38,405.7299,807679,0
TSLA.US,5,20250103,202000,405.6401,406.54,405.4,405.6,909143,0
TSLA.US,5,20250103,202500,405.65,405.7,404.21,404.91,786308,0
TSLA.US,5,20250103,203000,404.8548,406.32,404.7201,405.44,547956,0
TSLA.US,5,20250103,203500,405.4999,406.3,404.96,406.245,505347,0
TSLA.US,5,20250103,204000,406.2799,407.16,405.74,406.5776,685716,0
TSLA.US,5,20250103,204500,406.5647,406.88,405.68,406.2448,478014,0
TSLA.US,5,20250103,205000,406.3,406.3,405.13,405.7605,383944,0
TSLA.US,5,20250103,205500,405.6439,406.39,405.5212,405.99,450138,0
TSLA.US,5,20250103,210000,405.97,406.01,404.19,404.65,734364,0
TSLA.US,5,20250103,210500,404.65,406.55,403.9,406.48,768852,0
TSLA.US,5,20250103,211000,406.485,409.32,406.4401,409.25,1237266,0
TSLA.US,5,20250103,211500,409.2863,409.69,408.6,409.04,970072,0
TSLA.US,5,20250103,212000,409.065,409.18,407.86,408.14,926010,0
TSLA.US,5,20250103,212500,408.15,408.82,407.41,408.63,850305,0
TSLA.US,5,20250103,213000,408.605,409.51,407.9201,409.51,754039,0
TSLA.US,5,20250103,213500,409.47,410.43,408.8,409.9229,1200825,0
TSLA.US,5,20250103,214000,409.885,410.4199,409.5601,409.91,774065,0
TSLA.US,5,20250103,214500,409.9535,410.05,408.8,408.8928,730886,0
TSLA.US,5,20250103,215000,408.905,411.8799,408.72,411.56,1613240,0
TSLA.US,5,20250103,215500,411.56,411.71,409.3101,410.44,7114359,0
TSLA.US,5,20250106,153000,423.21,426.43,420.3301,421.9504,3652866,0
TSLA.US,5,20250106,153500,421.9101,423.55,417.15,417.2435,1382882,0
